EXTRACTED_DATE,EXTRACTED_TIME,STOCK_NAME,EXTRACTED_PRICE
18-12-2025,05:54:33,YESBANK,21.45
18-12-2025,05:54:44,YESBANK,21.45
18-12-2025,05:54:55,YESBANK,21.45
18-12-2025,05:55:06,YESBANK,21.45
18-12-2025,05:55:17,YESBANK,21.45
18-12-2025,05:55:28,YESBANK,21.48
18-12-2025,05:55:39,YESBANK,21.48
18-12-2025,05:55:50,YESBANK,21.47
18-12-2025,05:56:01,YESBANK,21.47
18-12-2025,05:56:12,YESBANK,21.47
18-12-2025,05:56:23,YESBANK,21.47
18-12-2025,05:56:34,YESBANK,21.48
18-12-2025,05:56:45,YESBANK,21.47
18-12-2025,05:56:56,YESBANK,21.48
18-12-2025,05:57:07,YESBANK,21.47
18-12-2025,05:57:18,YESBANK,21.48
18-12-2025,05:57:29,YESBANK,21.48
18-12-2025,05:57:40,YESBANK,21.47
18-12-2025,05:57:51,YESBANK,21.47
18-12-2025,05:58:02,YESBANK,21.47
18-12-2025,05:58:13,YESBANK,21.46
18-12-2025,05:58:24,YESBANK,21.47
18-12-2025,05:58:35,YESBANK,21.47
18-12-2025,05:58:46,YESBANK,21.46
18-12-2025,05:58:56,YESBANK,21.46
18-12-2025,05:59:07,YESBANK,21.46
18-12-2025,05:59:18,YESBANK,21.47
18-12-2025,05:59:29,YESBANK,21.45
18-12-2025,05:59:40,YESBANK,21.45
18-12-2025,05:59:51,YESBANK,21.45
18-12-2025,06:00:02,YESBANK,21.45
18-12-2025,06:00:13,YESBANK,21.46
18-12-2025,06:00:24,YESBANK,21.46
18-12-2025,06:00:35,YESBANK,21.47
18-12-2025,06:00:46,YESBANK,21.47
18-12-2025,06:00:57,YESBANK,21.46
18-12-2025,06:01:08,YESBANK,21.47
18-12-2025,06:05:02,YESBANK,21.49
18-12-2025,06:05:13,YESBANK,21.47
18-12-2025,06:05:24,YESBANK,21.47
18-12-2025,06:05:35,YESBANK,21.48
18-12-2025,06:05:46,YESBANK,21.48
18-12-2025,06:05:57,YESBANK,21.48
18-12-2025,06:06:08,YESBANK,21.47
18-12-2025,06:06:19,YESBANK,21.47
18-12-2025,06:06:30,YESBANK,21.49
18-12-2025,06:06:41,YESBANK,21.49
18-12-2025,06:06:52,YESBANK,21.47
18-12-2025,06:07:02,YESBANK,21.47
18-12-2025,06:07:13,YESBANK,21.47
18-12-2025,06:07:24,YESBANK,21.48
18-12-2025,06:07:35,YESBANK,21.48
18-12-2025,06:07:46,YESBANK,21.47
18-12-2025,06:07:57,YESBANK,21.47
18-12-2025,06:08:08,YESBANK,21.46
18-12-2025,06:08:19,YESBANK,21.48
18-12-2025,06:08:30,YESBANK,21.48
18-12-2025,06:08:41,YESBANK,21.47
18-12-2025,06:08:52,YESBANK,21.47
18-12-2025,06:09:03,YESBANK,21.47
18-12-2025,06:09:14,YESBANK,21.48
18-12-2025,06:09:25,YESBANK,21.47
18-12-2025,06:09:36,YESBANK,21.48
18-12-2025,06:09:47,YESBANK,21.48
18-12-2025,06:09:58,YESBANK,21.47
18-12-2025,06:10:09,YESBANK,21.47
18-12-2025,06:10:20,YESBANK,21.47
18-12-2025,06:10:31,YESBANK,21.48
18-12-2025,06:10:42,YESBANK,21.48
18-12-2025,06:10:53,YESBANK,21.47
18-12-2025,06:11:04,YESBANK,21.47
18-12-2025,06:11:15,YESBANK,21.47
18-12-2025,06:11:26,YESBANK,21.47
18-12-2025,06:11:37,YESBANK,21.46
18-12-2025,06:11:48,YESBANK,21.46
18-12-2025,06:11:59,YESBANK,21.47
18-12-2025,06:12:10,YESBANK,21.47
18-12-2025,06:12:21,YESBANK,21.47
